raw_ID,context,audio
1,你是时尚精品店店员，有顾客想知道该商店主要售卖的商品是什么。你需要告诉顾客商品的名称。,https://gigibon.github.io/Warn_name_audio/Audio/1_male_name_yanjing4.wav
2,你是时尚精品店店员，有顾客想知道该商店主要售卖的商品是什么。你需要告诉顾客商品的名称。,https://gigibon.github.io/Warn_name_audio/Audio/1_male_name_yanjing3.wav
3,你是商超店主，有批发商问店里还需进购什么物品。你需要告诉他物品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/2_male_name_huochai4.wav
4,你是商超店主，有批发商问店里还需进购什么物品。你需要告诉他物品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/2_male_name_huochai1.wav
5,你是购物广场店员，顾客想知道促销的商品名是什么。你需要告诉他商品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/3_male_name_guo2.wav
6,你是购物广场店员，顾客想知道促销的商品名是什么。你需要告诉他商品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/3_male_name_guo4.wav
7,你是药店员工，顾客拿着一件商品，想向你确认商品的名称。你需要告诉他商品的名称是什么。,https://gigibon.github.io/Warn_name_audio/Audio/4_male_name_tingzhenqi2.wav
8,你是药店员工，顾客拿着一件商品，想向你确认商品的名称。你需要告诉他商品的名称是什么。,https://gigibon.github.io/Warn_name_audio/Audio/4_male_name_tingzhenqi3.wav
9,你是卖场店员，顾客想知道促销的商品名是什么。你需要告诉他商品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/5_male_name_wan3.wav
10,你是卖场店员，顾客想知道促销的商品名是什么。你需要告诉他商品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/5_male_name_wan2.wav
11,你是鲜花店店主，有顾客想知道最近什么鲜花比较热卖。你需要告诉他商品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/6_male_name_xiangrikui4.wav
12,你是鲜花店店主，有顾客想知道最近什么鲜花比较热卖。你需要告诉他商品的名字。,https://gigibon.github.io/Warn_name_audio/Audio/6_male_name_xiangrikui1.wav
